word,pos,ipa,meaning,image,definition
abide by,/v/&nbsp;,/əˈbaid bai/,tuân theo,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456757/anki_600/b0ngikrscmvrvx66i8x6.jpg,"to comply with; to conform to accept or obey an agreement, decision, or rule"
agree,/v/,/əˈɡriː/,đồng ý,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456758/anki_600/mbia11lczsxp22xxqfkl.jpg,to say “yes” or to think the same way
agreement,/n/,/əˈɡriːmənt/,hợp đồng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456760/anki_600/yhmkvpltvjby8lwzfxyc.jpg,"a mutual arrangement, a contract"
assurance,/n/,/ə'ʃʊ(ə)rəns/,sự cam đoan,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456760/anki_600/rp475nrvwergglybzchb.jpg,"n., a guarantee; confidence, a promise; a type of insurance against events that will certainly happen not may happen"
cancellation,/n/,/kæn.səl'eiʃən/,sự bãi bỏ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456761/anki_600/rurpozioua8ndfdai2wm.png,"n., annulment; stopping a situation in which something that has been arranged is stopped from happening; an act of officially ending a legal agreement or responsibility; an act of stopping an order for goods or services;"
determine,/v/,/dɪˈtɜːmɪn/,định,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456762/anki_600/eg08uoxlpgagiqnd0msu.jpg,"v., to find out; to influence to control or influence something directly, or to decide what will happen; to make a strong decision; to discover the facts or truth about something"
engage,/v/,/ɪnˈɡeɪdʒ/,dàn xếp để tuyển dụng một người; thuê một người;hấp dẫn ai đó,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456763/anki_600/l2b6dybkp6ilr8nzt39f.png,"v., to participate; to involve, to hire to arrange to employ someone; to hire: to fit one part of a machine into another so they move together. to attract someone’s interest."
establish,/v/,/ɪˈstæblɪʃ/,thành lập,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456764/anki_600/oo2bcodmkfmexoahjts5.jpg,"v., to institute permanently; to bring about to start something that will last for a long time; to create or set something in a particular way;"
obligate,/v/,/ˈɒblɪɡeɪt/,bắt buộc,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456765/anki_600/lo8zewkt2wk67alvikzk.gif,"v., to bind legally or morally to make someone feel morally or legally forced to do something"
obligation,/n /,/ˌɒblɪˈɡeɪʃn̩/,nghĩa vụ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456766/anki_600/cn9pvlgzvwk4wsvpndu8.jpg,something that a person feels morally or legally forced to do
party,/n/,/ˈpɑːti/,các bên tham gia; bữa tiệc; đội,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456767/anki_600/sw34zbpfsqvdt0uzxj6s.jpg,"a social gathering at which people talk, eat, drink, and enjoy themselves; one sides involved in a formal agreement or argument, esp. a legal one"
